Date,Description,Amount,Category
28-10-2023,ZARA,3067.08,Shopping
22-06-2023,AMAZON INDIA,4872.76,Shopping
13-03-2024,ICICI CAR LOAN,41985.77,EMI
11-04-2023,STARBUCKS,1030.39,Food
29-11-2024,UNIQLO,2093.1,Shopping
11-11-2024,JIO FIBER,2917.22,Utilities
03-08-2023,DISNEY+ HOTSTAR,871.82,Entertainment
16-04-2024,AMAZON INDIA,1698.67,Shopping
03-01-2023,BESCOM BILL,2992.2,Utilities
12-07-2023,UPI/ZOMATO,474.29,Food
02-09-2023,UPI/KFC,498.26,Food
05-10-2023,STARBUCKS,1364.5,Food
15-03-2024,MYNTRA,1863.78,Shopping
29-12-2023,PPF TRANSFER,16600.93,Investment
11-01-2024,STARBUCKS,185.67,Food
16-06-2023,ICICI CAR LOAN,38087.74,EMI
12-01-2024,UPI/SWIGGY,1366.08,Food
29-03-2023,BLINKIT,2402.2,Food
27-02-2024,UPI/SWIGGY,617.99,Food
21-06-2024,STARBUCKS,2391.34,Food
26-06-2024,MCDONALDS,2140,Food
02-10-2023,PVR CINEMAS,755.23,Entertainment
05-07-2024,NPS CONTRIBUTION,18837.75,Investment
13-10-2024,UPI/DECATHLON,5985.12,Shopping
11-06-2023,NETFLIX SUB,1305.48,Entertainment
07-03-2023,UPI/KFC,2050.01,Food
02-06-2024,UPI/KFC,1365.66,Food
22-10-2023,UPI/DECATHLON,5678.89,Shopping
23-09-2023,UPI/SWIGGY,1044.23,Food
07-11-2024,DOMINOS PIZZA,307.66,Food
01-04-2024,ZARA,3248.87,Shopping
15-08-2024,PPF TRANSFER,10062.15,Investment
21-10-2024,MCDONALDS,1238.68,Food
01-10-2024,FLIPKART,7746.01,Shopping
20-01-2023,GROCERY STORE,299.48,Food
09-10-2023,UPI/ZOMATO,1627.34,Food
07-02-2023,DISNEY+ HOTSTAR,743.74,Entertainment
05-12-2023,ZERODHA BROKING,8431.9,Investment
02-11-2024,ACCENTURE PAYROLL,149517.99,Salary
24-01-2023,UPI/ZOMATO,437.05,Food
05-01-2024,MCDONALDS,2118.91,Food
29-04-2024,BLINKIT,1456.85,Food
19-09-2023,AMAZON INDIA,6749.68,Shopping
02-05-2024,SALARY CREDIT - TCS,124250.3,Salary
29-02-2024,SPOTIFY PREMIUM,1272.43,Entertainment
15-08-2023,AMAZON INDIA,6746.27,Shopping
23-03-2023,BLINKIT,1270.59,Food
27-12-2023,DOMINOS PIZZA,1428.38,Food
01-07-2023,PVR CINEMAS,949.95,Entertainment
01-09-2024,UPI/KFC,1822.06,Food
31-01-2023,NETFLIX SUB,872.99,Entertainment
24-04-2024,UPI/SWIGGY,2419.3,Food
02-04-2024,UPI/RENT TRANSFER,31813.82,Rent
29-07-2023,JIO FIBER,2715.29,Utilities
19-10-2023,MYNTRA,3703.42,Shopping
12-10-2024,UNIQLO,6547.91,Shopping
27-04-2024,DOMINOS PIZZA,2126.83,Food
24-04-2024,BESCOM BILL,674.55,Utilities
28-06-2024,BLINKIT,2094.78,Food
01-03-2024,UNIQLO,7636.52,Shopping
19-12-2024,SPOTIFY PREMIUM,787.11,Entertainment
15-05-2024,BOOKMYSHOW,1394.69,Entertainment
16-05-2023,BOOKMYSHOW,231.56,Entertainment
10-07-2023,PVR CINEMAS,591.22,Entertainment
16-08-2023,JIO FIBER,2288.79,Utilities
26-12-2023,GROWW SIP,11800.58,Investment
20-12-2023,IGL GAS BILL,1227.89,Utilities
01-05-2023,UPI/ZOMATO,534.32,Food
31-08-2024,MYNTRA,767.27,Shopping
01-02-2023,FLIPKART,2272.95,Shopping
21-05-2023,SALARY CREDIT - TCS,91586.71,Salary
25-05-2023,ICICI CAR LOAN,33507.52,EMI
26-03-2023,UNIQLO,566.67,Shopping
12-11-2023,AMAZON INDIA,1403.42,Shopping
27-03-2024,AIRTEL POSTPAID,2315.82,Utilities
10-07-2023,IGL GAS BILL,2448.25,Utilities
18-12-2024,JIO FIBER,2973.87,Utilities
16-04-2023,PVR CINEMAS,352.39,Entertainment
20-12-2023,UPI/DECATHLON,5623.58,Shopping
03-11-2024,DISNEY+ HOTSTAR,646.28,Entertainment
31-07-2024,MYNTRA,695.66,Shopping
08-04-2023,GROCERY STORE,2068.59,Food
29-01-2023,MYNTRA,7829.76,Shopping
01-03-2023,SPOTIFY PREMIUM,977.72,Entertainment
07-08-2023,UPI/SWIGGY,715.78,Food
07-05-2024,DOMINOS PIZZA,1870.33,Food
28-06-2024,FLIPKART,804.04,Shopping
01-02-2024,NOBROKER RENT,29112.31,Rent
08-12-2024,MCDONALDS,1586.6,Food
20-10-2023,STARBUCKS,2170.41,Food
01-05-2023,BESCOM BILL,656.56,Utilities
04-12-2024,INFOSYS SALARY,127857.69,Salary
09-07-2024,JIO FIBER,654.11,Utilities
28-09-2024,BESCOM BILL,1911.69,Utilities
09-10-2023,PVR CINEMAS,338.37,Entertainment
29-10-2023,SPOTIFY PREMIUM,899.21,Entertainment
25-06-2024,UNIQLO,3007.67,Shopping
08-08-2024,UPI/ZOMATO,871.56,Food
21-05-2024,ICICI CAR LOAN,27440.65,EMI
14-11-2023,UPI/SWIGGY,2157.38,Food
10-04-2024,AMAZON INDIA,2771.52,Shopping
22-08-2024,UPI/RENT TRANSFER,21194.57,Rent
17-06-2023,DOMINOS PIZZA,1177.22,Food
26-03-2023,PPF TRANSFER,5480.92,Investment
05-03-2023,MYNTRA,6576.95,Shopping
10-08-2023,DISNEY+ HOTSTAR,740.75,Entertainment
29-10-2024,MYNTRA,3748.97,Shopping
23-01-2024,DISNEY+ HOTSTAR,1176.23,Entertainment
24-01-2024,ZARA,7942.28,Shopping
20-11-2023,MYNTRA,2173.46,Shopping
29-05-2023,FLIPKART,5603.79,Shopping
05-08-2024,NOBROKER RENT,30703.58,Rent
05-09-2024,UPI/DECATHLON,2545.97,Shopping
12-11-2024,BESCOM BILL,1929.16,Utilities
21-05-2023,NOBROKER RENT,25530.85,Rent
09-10-2023,UPI/KFC,2234.11,Food
21-10-2023,DOMINOS PIZZA,1789.12,Food
31-03-2023,NETFLIX SUB,225.13,Entertainment
25-02-2024,ICICI CAR LOAN,40214.93,EMI
29-05-2024,AMAZON INDIA,5091.21,Shopping
16-05-2024,BOOKMYSHOW,1476.32,Entertainment
25-02-2023,PVR CINEMAS,1325.32,Entertainment
20-12-2024,GROCERY STORE,2278.81,Food
12-06-2024,BLINKIT,853.15,Food
29-07-2024,AIRTEL POSTPAID,2911.16,Utilities
29-03-2024,GROCERY STORE,1331.97,Food
31-07-2024,UPI/ZOMATO,167.51,Food
26-12-2024,AIRTEL POSTPAID,1751.2,Utilities
27-05-2024,UPI/SWIGGY,1092.88,Food
24-12-2023,UPI/KFC,1713.41,Food
21-03-2023,GROCERY STORE,1832.59,Food
05-09-2023,MCDONALDS,386.64,Food
15-02-2023,JIO FIBER,1706.69,Utilities
31-03-2024,PVR CINEMAS,1389.62,Entertainment
12-06-2024,UNIQLO,3618.36,Shopping
22-01-2023,MCDONALDS,569.04,Food
27-01-2024,MYNTRA,7471.56,Shopping
18-08-2023,UPI/KFC,1959.03,Food
09-12-2024,FLIPKART,5214.26,Shopping
16-04-2023,BLINKIT,1889.02,Food
10-07-2023,BESCOM BILL,1165.85,Utilities
23-05-2024,MCDONALDS,1896.95,Food
10-05-2023,CREDIT - SALARY,83494.09,Salary
07-01-2023,DOMINOS PIZZA,1016.71,Food
30-06-2023,IGL GAS BILL,1793.1,Utilities
01-01-2024,DOMINOS PIZZA,795.52,Food
22-06-2024,ZARA,3737.81,Shopping
22-07-2024,MCDONALDS,1134.31,Food
12-01-2023,UNIQLO,1568.34,Shopping
22-06-2023,PPF TRANSFER,18941.75,Investment
05-11-2024,IGL GAS BILL,2461.8,Utilities
28-08-2024,IGL GAS BILL,1461.34,Utilities
08-05-2024,ZARA,5679.14,Shopping
20-05-2023,ZARA,4724.6,Shopping
23-10-2024,DOMINOS PIZZA,1256.57,Food
23-09-2024,SBI HOME LOAN EMI,29126.63,EMI
27-02-2024,INFOSYS SALARY,80314.43,Salary
01-03-2023,DOMINOS PIZZA,232.05,Food
23-03-2023,PPF TRANSFER,6648.1,Investment
07-10-2023,BLINKIT,477.04,Food
15-03-2023,MCDONALDS,447.85,Food
07-07-2023,UPI/DECATHLON,7966.8,Shopping
07-08-2023,DOMINOS PIZZA,932.3,Food
28-05-2023,FLIPKART,919.88,Shopping
30-04-2023,MCDONALDS,2232.59,Food
26-08-2024,PVR CINEMAS,1030.95,Entertainment
08-11-2024,MYNTRA,1383.92,Shopping
14-01-2024,HOUSE RENT,26554.9,Rent
21-09-2024,AIRTEL POSTPAID,2828.4,Utilities
24-08-2024,CREDIT - SALARY,137040.01,Salary
27-05-2024,PPF TRANSFER,19508.84,Investment
28-07-2023,MCDONALDS,892.08,Food
19-03-2024,GROCERY STORE,1768.06,Food
02-04-2023,AMAZON INDIA,6219.56,Shopping
19-11-2024,NOBROKER RENT,18198.48,Rent
28-10-2023,UPI/ZOMATO,1861.9,Food
17-09-2024,UPI/DECATHLON,6878.05,Shopping
18-09-2024,GROCERY STORE,1884.46,Food
21-11-2024,MYNTRA,3834.69,Shopping
21-06-2024,UPI/SWIGGY,1880.42,Food
13-04-2024,ICICI CAR LOAN,35212.04,EMI
18-01-2023,DOMINOS PIZZA,605.73,Food
28-12-2024,NOBROKER RENT,15575.7,Rent
07-11-2024,IGL GAS BILL,2035.82,Utilities
27-10-2023,PVR CINEMAS,1167.18,Entertainment
27-11-2024,UPI/ZOMATO,640.4,Food
26-04-2024,STARBUCKS,183.09,Food
29-05-2024,DISNEY+ HOTSTAR,938.19,Entertainment
28-11-2024,AIRTEL POSTPAID,1888.29,Utilities
20-12-2024,UNIQLO,6607.3,Shopping
07-03-2024,UPI/ZOMATO,1193.96,Food
13-02-2024,PPF TRANSFER,19964.85,Investment
29-11-2023,ZARA,7854.04,Shopping
18-05-2023,UNIQLO,992.83,Shopping
26-08-2023,UPI/KFC,581.14,Food
19-06-2023,DISNEY+ HOTSTAR,346.18,Entertainment
19-10-2023,MYNTRA,662.24,Shopping
30-03-2024,UPI/ZOMATO,630.68,Food
15-07-2023,ICICI CAR LOAN,29533.08,EMI
14-10-2024,BESCOM BILL,1894.25,Utilities
05-08-2024,MCDONALDS,1903.3,Food
05-08-2024,BESCOM BILL,1058.23,Utilities
15-05-2024,UPI/KFC,1338.21,Food
11-07-2024,BLINKIT,2027.54,Food
07-11-2024,AMAZON INDIA,1789.68,Shopping
28-05-2024,GROCERY STORE,2499.71,Food
09-11-2024,ZERODHA BROKING,8728.72,Investment
20-10-2024,BESCOM BILL,2156.57,Utilities
16-02-2023,BLINKIT,1273.43,Food
29-01-2023,ZARA,7162.24,Shopping
12-05-2024,PVR CINEMAS,947.76,Entertainment
10-08-2023,FLIPKART,4407.46,Shopping
06-05-2024,ACH DEBIT - HDFC HOME LOAN,43780.93,EMI
16-09-2023,STARBUCKS,2135.88,Food
21-02-2024,BESCOM BILL,574.73,Utilities
08-10-2024,GROCERY STORE,1069.49,Food
05-05-2023,IGL GAS BILL,1787.76,Utilities
09-12-2024,UPI/KFC,1598.41,Food
25-10-2024,UPI/ZOMATO,2065.5,Food
19-07-2023,FLIPKART,7560.29,Shopping
03-06-2023,INFOSYS SALARY,130638.22,Salary
31-07-2023,JIO FIBER,2753.09,Utilities
07-02-2023,AIRTEL POSTPAID,2636.61,Utilities
04-09-2023,UPI/SWIGGY,1716.14,Food
09-04-2024,NETFLIX SUB,964.39,Entertainment
07-10-2023,MYNTRA,2928.86,Shopping
09-07-2023,AMAZON INDIA,7192.07,Shopping
22-10-2023,AMAZON INDIA,1468.98,Shopping
17-09-2024,AMAZON INDIA,4039.07,Shopping
18-08-2024,AIRTEL POSTPAID,2490.84,Utilities
12-06-2024,UPI/ZOMATO,1081.98,Food
03-12-2023,UPI/SWIGGY,610.83,Food
24-08-2024,MCDONALDS,2381.08,Food
15-06-2024,AMAZON INDIA,2620.98,Shopping
12-10-2024,FLIPKART,2338.09,Shopping
05-01-2023,JIO FIBER,2811.37,Utilities
22-07-2024,UPI/KFC,2228.05,Food
31-03-2024,MYNTRA,6241.14,Shopping
27-09-2024,MCDONALDS,2329.13,Food
20-11-2024,UNIQLO,6198.74,Shopping
11-11-2024,FLIPKART,500.83,Shopping
30-09-2024,FLIPKART,3596.89,Shopping
15-03-2024,UPI/DECATHLON,2235.26,Shopping
19-11-2023,BLINKIT,738.99,Food
08-10-2024,IGL GAS BILL,1310.45,Utilities
01-06-2023,HOUSE RENT,18184.08,Rent
01-09-2024,UPI/SWIGGY,1328.12,Food
20-08-2023,UPI/ZOMATO,249.31,Food
19-12-2023,MYNTRA,7341.28,Shopping
28-05-2023,AIRTEL POSTPAID,1191.46,Utilities
18-02-2024,BLINKIT,919.59,Food
23-10-2024,GROWW SIP,18247.95,Investment
19-05-2023,FLIPKART,5786.85,Shopping
15-06-2024,NETFLIX SUB,629.37,Entertainment
22-08-2024,SPOTIFY PREMIUM,717.91,Entertainment
08-06-2023,UNIQLO,6573.51,Shopping
09-01-2023,UNIQLO,2997.43,Shopping
29-01-2024,MCDONALDS,2252.38,Food
22-09-2023,UPI/ZOMATO,1840.36,Food
02-05-2023,MYNTRA,7160.09,Shopping
20-01-2023,ACCENTURE PAYROLL,80496.65,Salary
01-04-2024,PVR CINEMAS,550.9,Entertainment
18-07-2023,CREDIT - SALARY,115114.16,Salary
06-02-2023,HOUSE RENT,17017.56,Rent
09-09-2023,MCDONALDS,2223.2,Food
08-04-2024,AIRTEL POSTPAID,1085.41,Utilities
08-05-2024,AIRTEL POSTPAID,1354.79,Utilities
14-05-2024,UPI/DECATHLON,2726.03,Shopping
14-05-2023,AMAZON INDIA,1393.97,Shopping
13-03-2024,NPS CONTRIBUTION,10781.42,Investment
09-06-2024,STARBUCKS,1010.41,Food
19-07-2024,BLINKIT,1830.8,Food
02-12-2023,STARBUCKS,1158.32,Food
17-03-2023,PVR CINEMAS,651.34,Entertainment
07-08-2023,PVR CINEMAS,752.95,Entertainment
03-07-2023,FLIPKART,2004.74,Shopping
23-10-2024,DISNEY+ HOTSTAR,1379.2,Entertainment
05-03-2023,GROCERY STORE,1275.17,Food
22-03-2023,NETFLIX SUB,682,Entertainment
10-03-2024,UPI/DECATHLON,1845.85,Shopping
22-05-2024,BOOKMYSHOW,964.43,Entertainment
03-02-2024,UNIQLO,6575.88,Shopping
14-01-2024,AMAZON INDIA,7645.81,Shopping
28-09-2023,AIRTEL POSTPAID,1253.94,Utilities
27-08-2024,BESCOM BILL,2339.99,Utilities
04-01-2023,IGL GAS BILL,1991.51,Utilities
14-12-2023,IGL GAS BILL,797.32,Utilities
07-03-2023,UPI/ZOMATO,1888.67,Food
18-06-2023,STARBUCKS,287.87,Food
02-01-2024,UNIQLO,3086.62,Shopping
13-12-2023,NETFLIX SUB,813.65,Entertainment
18-05-2024,DOMINOS PIZZA,1454.49,Food
06-02-2024,DOMINOS PIZZA,2237.33,Food
15-03-2023,ZARA,3621.18,Shopping
05-07-2024,JIO FIBER,2639.79,Utilities
09-01-2023,GROCERY STORE,798.59,Food
11-04-2023,ZARA,7745.22,Shopping
27-08-2023,PPF TRANSFER,17818.45,Investment
01-02-2024,UPI/RENT TRANSFER,15548.6,Rent
11-01-2023,UNIQLO,1031.3,Shopping
21-04-2023,AMAZON INDIA,3021.97,Shopping
08-01-2023,IGL GAS BILL,748.73,Utilities
30-04-2023,MCDONALDS,862.24,Food
19-04-2024,STARBUCKS,1040.28,Food
07-08-2023,NPS CONTRIBUTION,6902.13,Investment
01-06-2023,IGL GAS BILL,2509.23,Utilities
23-11-2024,DISNEY+ HOTSTAR,597.35,Entertainment
28-11-2023,ZERODHA BROKING,10692.27,Investment
19-03-2023,GROWW SIP,8366.95,Investment
01-08-2023,SPOTIFY PREMIUM,343.04,Entertainment
20-08-2024,UNIQLO,3248.3,Shopping
06-11-2023,BLINKIT,1838.04,Food
22-01-2023,UPI/SWIGGY,2347.87,Food
10-10-2023,UPI/ZOMATO,2130.07,Food
25-02-2023,ZARA,3626.26,Shopping
22-01-2024,GROWW SIP,9189.69,Investment
24-12-2024,AIRTEL POSTPAID,2458.99,Utilities
07-09-2024,MCDONALDS,2366.3,Food
14-01-2024,BLINKIT,938.76,Food
13-07-2023,STARBUCKS,1284.07,Food
20-09-2023,BAJAJ FINSERV EMI,33090.39,EMI
23-11-2024,GROCERY STORE,2323.55,Food
02-01-2024,BLINKIT,2023.27,Food
19-02-2023,GROCERY STORE,720.61,Food
13-01-2023,AMAZON INDIA,3580.92,Shopping
12-09-2024,AMAZON INDIA,1023.15,Shopping
27-10-2023,UPI/ZOMATO,550.32,Food
05-10-2023,MYNTRA,3803.33,Shopping
08-07-2024,GROCERY STORE,717.97,Food
01-12-2024,UPI/KFC,1088.68,Food
02-03-2023,BLINKIT,1314.15,Food
09-10-2023,DISNEY+ HOTSTAR,861.76,Entertainment
31-12-2024,MYNTRA,1133.5,Shopping
29-12-2024,DISNEY+ HOTSTAR,582.38,Entertainment
10-03-2023,IGL GAS BILL,1350.66,Utilities
23-05-2023,UPI/ZOMATO,2183.73,Food
05-04-2024,STARBUCKS,1492.24,Food
26-03-2023,MYNTRA,6215.53,Shopping
08-06-2023,GROCERY STORE,2097.47,Food
24-05-2023,STARBUCKS,170.3,Food
21-12-2023,SPOTIFY PREMIUM,785.04,Entertainment
08-10-2024,AMAZON INDIA,648.57,Shopping
03-01-2023,GROCERY STORE,1082.17,Food
16-09-2023,SPOTIFY PREMIUM,329.21,Entertainment
27-04-2024,NETFLIX SUB,362.8,Entertainment
29-09-2023,GROCERY STORE,1778.54,Food
13-07-2024,BLINKIT,2362.54,Food
10-02-2023,UPI/KFC,1169.84,Food
29-06-2024,UPI/DECATHLON,2502.42,Shopping
23-01-2024,AMAZON INDIA,6320.99,Shopping
05-05-2023,MYNTRA,3661.91,Shopping
10-11-2024,BOOKMYSHOW,472.08,Entertainment
21-06-2023,STARBUCKS,843.17,Food
31-08-2023,JIO FIBER,2221.2,Utilities
27-05-2024,UNIQLO,842.64,Shopping
13-04-2023,BLINKIT,1466.69,Food
20-07-2023,PVR CINEMAS,631.55,Entertainment
19-07-2023,UNIQLO,6492.87,Shopping
15-12-2023,DOMINOS PIZZA,153.7,Food
16-12-2024,AMAZON INDIA,4297.32,Shopping
01-02-2023,UPI/DECATHLON,1435.38,Shopping
20-12-2023,SPOTIFY PREMIUM,1017.68,Entertainment
20-04-2023,UPI/RENT TRANSFER,23763.9,Rent
15-05-2023,AMAZON INDIA,5718.33,Shopping
25-04-2024,BLINKIT,697.18,Food
05-11-2023,GROCERY STORE,646.87,Food
09-09-2023,DISNEY+ HOTSTAR,429.86,Entertainment
11-03-2023,UPI/DECATHLON,6421.61,Shopping
05-11-2024,FLIPKART,5850.46,Shopping
22-02-2024,UPI/DECATHLON,521.07,Shopping
06-03-2024,MYNTRA,2018.23,Shopping
29-05-2024,UNIQLO,4991.05,Shopping
12-11-2023,STARBUCKS,1962.9,Food
01-09-2023,JIO FIBER,2541.82,Utilities
13-03-2024,UPI/DECATHLON,2582.95,Shopping
19-08-2024,IGL GAS BILL,549.24,Utilities
22-03-2024,UNIQLO,4959.95,Shopping
05-09-2023,IGL GAS BILL,2386.28,Utilities
13-02-2024,UPI/DECATHLON,6145.14,Shopping
13-03-2023,DOMINOS PIZZA,306.53,Food
11-04-2023,PVR CINEMAS,1245.85,Entertainment
07-09-2024,ACH DEBIT - HDFC HOME LOAN,26380.96,EMI
04-08-2023,FLIPKART,2051.81,Shopping
21-12-2024,FLIPKART,3969.87,Shopping
08-04-2023,NETFLIX SUB,687.2,Entertainment
28-04-2024,AIRTEL POSTPAID,1606.29,Utilities
17-01-2024,BLINKIT,594.86,Food
26-08-2023,DISNEY+ HOTSTAR,934.25,Entertainment
17-03-2023,DOMINOS PIZZA,336.97,Food
29-12-2023,ZERODHA BROKING,11527.07,Investment
09-04-2024,DOMINOS PIZZA,2335.39,Food
25-02-2024,GROCERY STORE,717.77,Food
27-02-2024,UPI/KFC,802.81,Food
11-10-2023,GROCERY STORE,808.83,Food
22-07-2023,ZARA,5097.17,Shopping
21-11-2024,SPOTIFY PREMIUM,1039.39,Entertainment
26-12-2023,DOMINOS PIZZA,502.55,Food
24-10-2024,DOMINOS PIZZA,805.76,Food
15-06-2024,DISNEY+ HOTSTAR,409.6,Entertainment
06-05-2023,DOMINOS PIZZA,1284.43,Food
13-08-2024,UPI/ZOMATO,2361.01,Food
08-05-2023,DOMINOS PIZZA,987.68,Food
10-12-2023,BOOKMYSHOW,999.4,Entertainment
14-01-2023,UPI/DECATHLON,5267.53,Shopping
19-09-2024,STARBUCKS,228.43,Food
25-11-2023,BESCOM BILL,1854.9,Utilities
25-01-2024,MCDONALDS,1405.42,Food
14-10-2023,STARBUCKS,1273.14,Food
05-01-2024,STARBUCKS,2146.48,Food
12-09-2024,UPI/KFC,451.59,Food
22-09-2023,NPS CONTRIBUTION,19019.52,Investment
18-08-2024,BLINKIT,2000.39,Food
04-04-2024,STARBUCKS,2437.36,Food
21-07-2024,DISNEY+ HOTSTAR,460.86,Entertainment
05-09-2024,DOMINOS PIZZA,583.41,Food
06-04-2024,UPI/ZOMATO,238.92,Food
26-11-2023,UNIQLO,7145.83,Shopping
04-06-2024,JIO FIBER,633.89,Utilities
10-12-2023,GROCERY STORE,1189.6,Food
03-04-2024,JIO FIBER,1594.51,Utilities
15-05-2023,MCDONALDS,1006.69,Food
08-04-2024,IGL GAS BILL,1939.63,Utilities
29-07-2024,STARBUCKS,1645.6,Food
25-10-2024,MCDONALDS,1913.09,Food
28-03-2024,NETFLIX SUB,238.09,Entertainment
04-06-2024,BLINKIT,1555.57,Food
14-06-2023,NOBROKER RENT,34645.73,Rent
04-12-2023,MYNTRA,6072.67,Shopping
13-09-2023,BESCOM BILL,2854.96,Utilities
05-03-2024,MYNTRA,5966.37,Shopping
22-08-2023,JIO FIBER,999.54,Utilities
29-01-2024,AIRTEL POSTPAID,1895.48,Utilities
04-06-2024,MYNTRA,1411.71,Shopping
22-11-2023,SPOTIFY PREMIUM,629.38,Entertainment
28-12-2023,JIO FIBER,697.43,Utilities
21-04-2023,JIO FIBER,2310.44,Utilities
02-10-2023,PVR CINEMAS,253.13,Entertainment
29-04-2024,BLINKIT,1171.26,Food
15-03-2024,UPI/RENT TRANSFER,21668.58,Rent
24-06-2024,SPOTIFY PREMIUM,725.58,Entertainment
20-02-2024,FLIPKART,3808.16,Shopping
04-02-2024,UNIQLO,6825.06,Shopping
01-05-2023,BOOKMYSHOW,444.12,Entertainment
03-06-2023,AMAZON INDIA,1588.9,Shopping
03-02-2024,ZARA,5196.89,Shopping
07-07-2023,FLIPKART,2016.46,Shopping
06-04-2023,BOOKMYSHOW,282.44,Entertainment
27-04-2024,UPI/SWIGGY,1100.92,Food
06-11-2024,UPI/KFC,562.76,Food
04-07-2024,BOOKMYSHOW,254.95,Entertainment
24-04-2023,STARBUCKS,532.33,Food
23-10-2024,AMAZON INDIA,3127.68,Shopping
14-09-2023,AMAZON INDIA,699.96,Shopping
07-06-2024,MCDONALDS,2215.27,Food
18-09-2023,BOOKMYSHOW,707.44,Entertainment
12-02-2024,GROCERY STORE,300.26,Food
25-12-2023,DOMINOS PIZZA,2293.71,Food
18-07-2024,MYNTRA,1684.69,Shopping
16-05-2024,BESCOM BILL,2860.92,Utilities
02-02-2023,DOMINOS PIZZA,756.41,Food
14-12-2024,HOUSE RENT,32057.42,Rent
01-10-2023,JIO FIBER,1979.97,Utilities
06-03-2024,IGL GAS BILL,1342.94,Utilities
15-04-2023,UPI/SWIGGY,216.3,Food
12-04-2023,AMAZON INDIA,537.87,Shopping
25-07-2023,FLIPKART,4131.2,Shopping
14-03-2023,MCDONALDS,1056.19,Food
14-04-2023,DOMINOS PIZZA,1403.69,Food
06-07-2024,DISNEY+ HOTSTAR,795.52,Entertainment
12-09-2023,PVR CINEMAS,300.83,Entertainment
13-05-2024,JIO FIBER,983.08,Utilities
03-09-2024,FLIPKART,5346.7,Shopping
08-08-2023,AMAZON INDIA,1761.89,Shopping
09-03-2024,BESCOM BILL,555.36,Utilities
22-01-2024,UPI/SWIGGY,991.13,Food
29-06-2023,GROCERY STORE,2110.22,Food
09-06-2023,PVR CINEMAS,1464.51,Entertainment
29-08-2024,STARBUCKS,1343.92,Food
10-06-2024,UPI/ZOMATO,2367.13,Food
24-12-2023,UPI/KFC,2373.89,Food
23-01-2024,ZARA,2630.31,Shopping
14-12-2023,UPI/ZOMATO,292.74,Food
05-10-2023,NETFLIX SUB,1028.08,Entertainment
06-02-2024,BLINKIT,771.06,Food
23-12-2024,BOOKMYSHOW,220.38,Entertainment
16-12-2023,BOOKMYSHOW,267.01,Entertainment
05-05-2024,BOOKMYSHOW,915.7,Entertainment
07-11-2023,BLINKIT,858.45,Food
06-07-2024,GROWW SIP,17469,Investment
19-04-2024,UPI/KFC,456.48,Food
09-09-2023,UPI/SWIGGY,1154,Food
02-10-2023,IGL GAS BILL,1542.49,Utilities
26-11-2024,UPI/SWIGGY,505.77,Food
23-07-2023,AIRTEL POSTPAID,2192.71,Utilities
22-02-2023,UPI/SWIGGY,2047.41,Food
11-08-2024,GROCERY STORE,850.86,Food
11-10-2024,DISNEY+ HOTSTAR,702.48,Entertainment
05-03-2023,AIRTEL POSTPAID,2966.77,Utilities
24-04-2024,BLINKIT,1301.63,Food
21-12-2023,AIRTEL POSTPAID,2381.22,Utilities
27-08-2023,BLINKIT,1601.43,Food
01-03-2023,FLIPKART,2726.77,Shopping
28-07-2024,IGL GAS BILL,2184.66,Utilities
30-08-2024,FLIPKART,667.95,Shopping
13-07-2024,MCDONALDS,2469.94,Food
14-07-2024,NPS CONTRIBUTION,18804.44,Investment
22-11-2024,AMAZON INDIA,7397.03,Shopping
03-12-2023,MYNTRA,1427.21,Shopping
03-01-2024,UPI/SWIGGY,687.02,Food
01-06-2023,PVR CINEMAS,832.13,Entertainment
21-12-2023,ACH DEBIT - HDFC HOME LOAN,35649.5,EMI
26-06-2024,STARBUCKS,230.38,Food
21-04-2023,AIRTEL POSTPAID,2074.5,Utilities
12-12-2023,SPOTIFY PREMIUM,888.75,Entertainment
03-03-2023,CREDIT - SALARY,126145.72,Salary
09-05-2023,UPI/SWIGGY,200.32,Food
21-09-2023,UPI/KFC,1651.19,Food
15-04-2024,MCDONALDS,728.82,Food
07-09-2024,IGL GAS BILL,1299.19,Utilities
14-11-2024,BLINKIT,354.15,Food
01-09-2024,NETFLIX SUB,889.33,Entertainment
26-07-2023,BOOKMYSHOW,1455.88,Entertainment
23-08-2023,ZARA,5319.55,Shopping
20-12-2024,STARBUCKS,1589.94,Food
23-07-2023,UNIQLO,7220.69,Shopping
25-10-2024,DISNEY+ HOTSTAR,1384.34,Entertainment
05-06-2023,UPI/KFC,1864.18,Food
18-06-2023,DOMINOS PIZZA,745.97,Food
09-11-2024,MCDONALDS,400.19,Food
10-07-2023,ACCENTURE PAYROLL,113194.49,Salary
19-04-2023,AIRTEL POSTPAID,1749.7,Utilities
11-08-2024,SALARY CREDIT - TCS,117481.82,Salary
19-09-2024,ZARA,5400.25,Shopping
12-09-2023,JIO FIBER,2369.71,Utilities
19-09-2024,DOMINOS PIZZA,279.9,Food
28-01-2024,STARBUCKS,1765.35,Food
08-08-2023,NETFLIX SUB,969.04,Entertainment
02-12-2024,BLINKIT,1653.39,Food
09-06-2024,ZERODHA BROKING,17006.47,Investment
29-03-2023,NETFLIX SUB,1190.92,Entertainment
13-05-2024,FLIPKART,5387.32,Shopping
06-04-2023,IGL GAS BILL,2966.01,Utilities
06-11-2024,PVR CINEMAS,427.35,Entertainment
03-05-2023,UPI/KFC,2226.08,Food
